✅ Loaded 8091 valid samples
Epoch 2 | Batch 810 | Loss: 0.4023
Epoch 2 | Batch 820 | Loss: 0.5479
Epoch 2 | Batch 830 | Loss: 0.3607
Epoch 2 | Batch 840 | Loss: 0.5735
Epoch 2 | Batch 850 | Loss: 0.4659
Epoch 2 | Batch 860 | Loss: 0.3315
Epoch 2 | Batch 870 | Loss: 0.6644
Epoch 2 | Batch 880 | Loss: 0.4682
Epoch 2 | Batch 890 | Loss: 0.3157
Epoch 2 | Batch 900 | Loss: 0.7099
Epoch 2 | Batch 910 | Loss: 0.2459
Epoch 2 | Batch 920 | Loss: 0.5074
Epoch 2 | Batch 930 | Loss: 0.3177
Epoch 2 | Batch 940 | Loss: 0.4472
Epoch 2 | Batch 950 | Loss: 0.3872
Epoch 2 | Batch 960 | Loss: 0.6500
Epoch 2 | Batch 970 | Loss: 0.3815
Epoch 2 | Batch 980 | Loss: 0.3804
Epoch 2 | Batch 990 | Loss: 0.6089
Epoch 2 | Batch 1000 | Loss: 0.5753
Epoch 2 | Batch 1010 | Loss: 0.5082
Epoch 2 | Batch 1020 | Loss: 0.3088
Epoch 2 | Batch 1030 | Loss: 0.2978
Epoch 2 | Batch 1040 | Loss: 0.2348
Epoch 2 | Batch 1050 | Loss: 0.2430
Epoch 2 | Batch 1060 | Loss: 0.2875
Epoch 2 | Batch 1070 | Loss: 0.4161
Epoch 2 | Batch 1080 | Loss: 0.5945
Epoch 2 | Batch 1090 | Loss: 0.3219
Epoch 2 | Batch 1100 | Loss: 0.3703
Epoch 2 | Batch 1110 | Loss: 0.7009
Epoch 2 | Batch 1120 | Loss: 0.6094
Epoch 2 | Batch 1130 | Loss: 0.5085
Epoch 2 | Batch 1140 | Loss: 0.4334
Epoch 2 | Batch 1150 | Loss: 0.3724
Epoch 2 | Batch 1160 | Loss: 0.3590
Epoch 2 | Batch 1170 | Loss: 0.5574
Epoch 2 | Batch 1180 | Loss: 0.7223
Epoch 2 | Batch 1190 | Loss: 0.6025
Epoch 2 | Batch 1200 | Loss: 0.5699
Epoch 2 | Batch 1210 | Loss: 0.6952
Epoch 2 | Batch 1220 | Loss: 0.4561
Epoch 2 | Batch 1230 | Loss: 0.3538
Epoch 2 | Batch 1240 | Loss: 0.3906
Epoch 2 | Batch 1250 | Loss: 0.5703
Epoch 2 | Batch 1260 | Loss: 0.4711
Epoch 2 | Batch 1270 | Loss: 0.6076
Epoch 2 | Batch 1280 | Loss: 0.3655
Epoch 2 | Batch 1290 | Loss: 0.4244
Epoch 2 | Batch 1300 | Loss: 0.3570
Epoch 2 | Batch 1310 | Loss: 0.2765
Epoch 2 | Batch 1320 | Loss: 0.4024
Epoch 2 | Batch 1330 | Loss: 0.3211
Epoch 2 | Batch 1340 | Loss: 0.5010
Epoch 2 | Batch 1350 | Loss: 0.4769
Epoch 2 | Batch 1360 | Loss: 0.4340
Epoch 2 | Batch 1370 | Loss: 0.5600
Epoch 2 | Batch 1380 | Loss: 0.3535
Epoch 2 | Batch 1390 | Loss: 0.5255
Epoch 2 | Batch 1400 | Loss: 0.4658
Epoch 2 | Batch 1410 | Loss: 0.4490
Epoch 2 | Batch 1420 | Loss: 0.5239
Epoch 2 | Batch 1430 | Loss: 0.4956
Epoch 2 | Batch 1440 | Loss: 0.3207
Epoch 2 | Batch 1450 | Loss: 0.5617
Epoch 2 | Batch 1460 | Loss: 0.4419
Epoch 2 | Batch 1470 | Loss: 0.5525
Epoch 2 | Batch 1480 | Loss: 0.3662
Epoch 2 | Batch 1490 | Loss: 0.5014
Epoch 2 | Batch 1500 | Loss: 0.4273
Epoch 2 | Batch 1510 | Loss: 0.2879
Epoch 2 | Batch 1520 | Loss: 0.7954
Epoch 2 | Batch 1530 | Loss: 0.3727
